interval_begin_s,interval_end_s,interval_begin_hhmm,edge_id,speed_mean_ms,speed_min_ms,speed_max_ms,speed_std_ms,density_mean_vkl,density_min_vkl,density_max_vkl,density_std_vkl,n_runs
36000.0,36900.0,10:00,-71181686#4,9.1550,8.3500,9.9600,1.1384,0.1200,0.1100,0.1300,0.0141,2
36000.0,36900.0,10:00,-71181686#5,9.1650,8.3600,9.9700,1.1384,0.1200,0.1100,0.1300,0.0141,2
36000.0,36900.0,10:00,-779932972#0,13.3600,10.5600,16.1600,3.9598,0.0900,0.0700,0.1100,0.0283,2
36000.0,36900.0,10:00,-779932972#1,13.3550,10.5500,16.1600,3.9669,0.0900,0.0700,0.1100,0.0283,2
36000.0,36900.0,10:00,-79633771#1,8.3500,8.3100,8.3900,0.0566,0.5300,0.5300,0.5300,0.0000,2
36000.0,36900.0,10:00,-79633771#2,8.3500,8.3100,8.3900,0.0566,0.5300,0.5300,0.5300,0.0000,2
36000.0,36900.0,10:00,-83207313#2,16.1600,16.1600,16.1600,0.0000,0.0700,0.0700,0.0700,0.0000,1
36000.0,36900.0,10:00,-887871736#0,12.4750,12.0900,12.8600,0.5445,0.5350,0.5200,0.5500,0.0212,2
36000.0,36900.0,10:00,-887871736#1,12.4800,12.0900,12.8700,0.5515,0.5350,0.5200,0.5500,0.0212,2
36000.0,36900.0,10:00,-926028935#1,8.5100,8.3700,8.6500,0.1980,0.6500,0.6400,0.6600,0.0141,2
36000.0,36900.0,10:00,-928691979#0,13.8900,13.8900,13.8900,0.0000,0.2400,0.2400,0.2400,0.0000,2
36000.0,36900.0,10:00,-939067974#0,9.1300,9.0600,9.2000,0.0990,0.1200,0.1200,0.1200,0.0000,2
36000.0,36900.0,10:00,-939067974#1,9.1300,9.0600,9.2000,0.0990,0.1200,0.1200,0.1200,0.0000,2
36000.0,36900.0,10:00,-939067975#0,9.1300,9.0600,9.2000,0.0990,0.1200,0.1200,0.1200,0.0000,2
36000.0,36900.0,10:00,-94511068#0,9.2750,9.2200,9.3300,0.0778,0.1200,0.1200,0.1200,0.0000,2
36000.0,36900.0,10:00,-94511068#1,9.2750,9.2200,9.3300,0.0778,0.1200,0.1200,0.1200,0.0000,2
36000.0,36900.0,10:00,-94511068#2,9.2750,9.2200,9.3300,0.0778,0.1200,0.1200,0.1200,0.0000,2
36000.0,36900.0,10:00,-953082529#3,13.6650,13.4500,13.8800,0.3041,0.1650,0.1600,0.1700,0.0071,2
36000.0,36900.0,10:00,-990834100,8.8150,8.6500,8.9800,0.2333,0.2550,0.2500,0.2600,0.0071,2
36000.0,36900.0,10:00,104288999,9.1300,9.0600,9.2000,0.0990,0.1200,0.1200,0.1200,0.0000,2
36000.0,36900.0,10:00,1053066061#1,9.1450,8.6500,9.6400,0.7000,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,1053066062,9.1450,8.6500,9.6400,0.7000,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,1053066068#2,9.1400,8.6400,9.6400,0.7071,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,1053066068#4,9.1250,8.7200,9.5300,0.5728,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,1053979184#1,13.9000,13.9000,13.9000,0.0000,0.0800,0.0800,0.0800,0.0000,2
36000.0,36900.0,10:00,1054418205,8.8300,8.3600,9.3000,0.6647,0.5050,0.4800,0.5300,0.0354,2
36000.0,36900.0,10:00,1058344629,13.4350,13.2200,13.6500,0.3041,0.4150,0.4100,0.4200,0.0071,2
36000.0,36900.0,10:00,1058344630,13.9500,13.9500,13.9500,0.0000,0.2400,0.2400,0.2400,0.0000,2
36000.0,36900.0,10:00,1058647170,8.9050,8.6800,9.1300,0.3182,0.6250,0.6100,0.6400,0.0212,2
36000.0,36900.0,10:00,1058647171#0,8.4700,8.3200,8.6200,0.2121,0.2650,0.2600,0.2700,0.0071,2
36000.0,36900.0,10:00,1058647171#1,8.8900,8.7000,9.0800,0.2687,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,1059369989,8.5950,8.5800,8.6100,0.0212,0.3900,0.3900,0.3900,0.0000,2
36000.0,36900.0,10:00,1082662006,12.2200,11.1100,13.3300,1.5698,0.1850,0.1700,0.2000,0.0212,2
36000.0,36900.0,10:00,1082665464,12.1700,11.2800,13.0600,1.2587,0.1850,0.1700,0.2000,0.0212,2
36000.0,36900.0,10:00,11018592,8.5950,8.3600,8.8300,0.3323,0.9050,0.8800,0.9300,0.0354,2
36000.0,36900.0,10:00,11022533#0,8.8350,8.3500,9.3200,0.6859,0.5050,0.4800,0.5300,0.0354,2
36000.0,36900.0,10:00,11022533#1,8.8300,8.3600,9.3000,0.6647,0.5050,0.4800,0.5300,0.0354,2
36000.0,36900.0,10:00,1112393351,12.4500,12.4400,12.4600,0.0141,0.4500,0.4500,0.4500,0.0000,2
36000.0,36900.0,10:00,1117683359#0,8.1050,7.6000,8.6100,0.7142,0.4150,0.3900,0.4400,0.0354,2
36000.0,36900.0,10:00,1125715810,12.4450,12.4300,12.4600,0.0212,0.4500,0.4500,0.4500,0.0000,2
36000.0,36900.0,10:00,1165474198,12.7000,12.0800,13.3200,0.8768,0.1750,0.1700,0.1800,0.0071,2
36000.0,36900.0,10:00,1177239769,12.6550,12.1100,13.2000,0.7707,0.0850,0.0800,0.0900,0.0071,2
36000.0,36900.0,10:00,1177239772#0,11.9700,11.4300,12.5100,0.7637,0.2800,0.2700,0.2900,0.0141,2
36000.0,36900.0,10:00,1220287665,12.6150,12.0400,13.1900,0.8132,0.5300,0.5100,0.5500,0.0283,2
36000.0,36900.0,10:00,1267943350#0,8.9650,8.8300,9.1000,0.1909,0.3750,0.3700,0.3800,0.0071,2
36000.0,36900.0,10:00,1267943350#1,8.9550,8.8200,9.0900,0.1909,0.3750,0.3700,0.3800,0.0071,2
36000.0,36900.0,10:00,1267943350#2,8.9650,8.8300,9.1000,0.1909,0.3750,0.3700,0.3800,0.0071,2
36000.0,36900.0,10:00,1305563481#0,8.0550,7.8700,8.2400,0.2616,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,131330666#1,13.3300,13.3300,13.3300,0.0000,0.1700,0.1700,0.1700,0.0000,2
