camera,date,time,timestamp,car,motorcycle,bus,truck,total,filepath
CM_A69A1,2025-04-01,10:00:11,2025-04-01 10:00:11,1,0,0,1,2,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-100011.jpg
CM_A69A1,2025-04-01,10:05:14,2025-04-01 10:05:14,7,0,1,1,9,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-100514.jpg
CM_A69A1,2025-04-01,10:10:20,2025-04-01 10:10:20,1,0,0,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-101020.jpg
CM_A69A1,2025-04-01,10:20:22,2025-04-01 10:20:22,3,0,0,0,3,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-102022.jpg
CM_A69A1,2025-04-01,10:30:37,2025-04-01 10:30:37,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-103037.jpg
CM_A69A1,2025-04-01,10:40:41,2025-04-01 10:40:41,2,0,0,1,3,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-104041.jpg
CM_A69A1,2025-04-01,10:49:41,2025-04-01 10:49:41,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-104941.jpg
CM_A69A1,2025-04-01,10:55:43,2025-04-01 10:55:43,6,0,0,0,6,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-105543.jpg
CM_A69A1,2025-04-01,11:05:36,2025-04-01 11:05:36,5,0,0,1,6,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-110536.jpg
CM_A69A1,2025-04-01,11:15:20,2025-04-01 11:15:20,5,0,0,0,5,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-111520.jpg
CM_A69A1,2025-04-01,11:25:43,2025-04-01 11:25:43,4,0,0,0,4,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-112543.jpg
CM_A69A1,2025-04-01,11:35:39,2025-04-01 11:35:39,8,0,0,0,8,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-113539.jpg
CM_A69A1,2025-04-01,11:45:29,2025-04-01 11:45:29,7,0,0,0,7,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-114529.jpg
CM_A69A1,2025-04-01,11:50:52,2025-04-01 11:50:52,2,0,0,0,2,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-115052.jpg
CM_A69A1,2025-04-01,12:00:03,2025-04-01 12:00:03,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-120003.jpg
CM_A69A1,2025-04-01,12:10:53,2025-04-01 12:10:53,1,0,1,0,2,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-121053.jpg
CM_A69A1,2025-04-01,12:20:26,2025-04-01 12:20:26,1,0,0,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-122026.jpg
CM_A69A1,2025-04-01,12:30:29,2025-04-01 12:30:29,1,0,0,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-123029.jpg
CM_A69A1,2025-04-01,12:35:58,2025-04-01 12:35:58,6,0,0,0,6,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-123558.jpg
CM_A69A1,2025-04-01,12:45:46,2025-04-01 12:45:46,2,0,2,0,4,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-124546.jpg
CM_A69A1,2025-04-01,12:56:01,2025-04-01 12:56:01,6,0,0,0,6,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-125601.jpg
CM_A69A1,2025-04-01,13:05:41,2025-04-01 13:05:41,7,0,1,0,8,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-130541.jpg
CM_A69A1,2025-04-01,13:16:01,2025-04-01 13:16:01,6,0,0,1,7,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-131601.jpg
CM_A69A1,2025-04-01,13:25:15,2025-04-01 13:25:15,6,0,0,0,6,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-132515.jpg
CM_A69A1,2025-04-01,13:30:50,2025-04-01 13:30:50,1,0,0,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-133050.jpg
CM_A69A1,2025-04-01,13:40:56,2025-04-01 13:40:56,1,0,1,0,2,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-134056.jpg
CM_A69A1,2025-04-01,13:51:00,2025-04-01 13:51:00,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-135100.jpg
